ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-7182628,Source1,1,2020-04-17 09:29:30,2020-04-17 10:29:30,26.7069,-80.11936,26.7069,-80.11936,0.0,At Haverhill Rd - Earlier accident., N Haverhill Rd,West Palm Beach,Palm Beach,FL,33417-4638,US,US/Eastern,KPBI,2020-04-17 09:24:00,78.0,78.0,81.0,30.13,10.0,ESE,13.0,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5404588,Source1,2,2022-04-21 10:01:00.000000000,2022-04-21 11:44:08.000000000,38.781024,-121.26582,38.780377,-121.265815,0.045,Incident on STANFORD RANCH RD near HOUSE 6750 Drive with caution., Stanford Ranch Rd,Roseville,Placer,CA,95678-1907,US,US/Pacific,KMCC,2022-04-21 09:55:00,55.0,55.0,88.0,29.83,10.0,SSE,9.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-156000,Source3,3,2016-08-12 16:45:00,2016-08-12 17:15:00,33.985249,-84.269348,,,0.0,Accident on GA-140 Holcomb Bridge Rd Westbound at Barnwell Rd.,Barnwell Rd,Alpharetta,Fulton,GA,30022,US,US/Eastern,KPDK,2016-08-12 16:53:00,91.0,,47.0,29.91,10.0,South,10.4,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1871277,Source2,3,2019-09-20 15:22:16,2019-09-20 15:56:00,47.118706,-122.556908,,,0.0,Left lane blocked due to accident on I-5 Northbound near Berkeley St.,I-5 S,Tacoma,Pierce,WA,98433,US,US/Pacific,KGRF,2019-09-20 14:58:00,67.0,67.0,84.0,29.78,10.0,WNW,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2031222,Source2,2,2019-06-03 16:55:43,2019-06-03 18:12:09,33.451355,-111.890343,,,0.0,Right lane closed due to accident on AZ-101-LOOP Southbound at Exit 50 Mckellips Rd.,E McKellips Rd,Scottsdale,Maricopa,AZ,85256,US,US/Mountain,KFFZ,2019-06-03 16:51:00,95.0,95.0,16.0,28.53,10.0,WSW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1167415,Source2,2,2021-02-04 12:48:21,2021-02-04 16:51:15,42.44891,-93.721138,,,7.769999980926514,Slow traffic and left hand shoulder blocked due to accident on US-20 Eastbound between Exit 140 IA-17 Exit 140 and Exit 145 CR-R38 Neely Ave.,US-20 E,Webster City,Hamilton,IA,50595,US,US/Central,KEBS,2021-02-04 12:55:00,19.0,1.0,93.0,28.41,0.5,NW,28.0,0.0,Light Snow / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4021880,Source1,2,2022-06-23 10:57:30,2022-06-23 15:43:00,38.858169,-77.219815,38.884636,-77.220805,1.829,Stationary traffic on I-495 N from VA-650/Gallows Rd/Exit 7 (Capital Beltway/I-495) to I-66/Exit 9 (Capital Beltway/I-495) due to accident.,Capital Beltway N,Falls Church,Fairfax County,VA,22042,US,US/Eastern,KDCA,2022-06-23 10:59:00,68.0,68.0,84.0,29.93,10.0,E,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1314019,Source2,3,2020-09-25 16:48:29,2020-09-25 17:38:44,32.434292,-82.50071,,,0.0,Lane blocked due to accident on I-16 Westbound after Exit 78 US-221.,GA-404 E,Soperton,Treutlen,GA,30457,US,US/Eastern,KVDI,2020-09-25 16:55:00,79.0,79.0,78.0,29.64,1.0,NW,13.0,0.0,Heavy T-Storm,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-721069,Source2,2,2022-02-04 19:57:43,2022-02-04 20:42:10,39.10696,-76.939789,,,0.0,Lane blocked due to accident on MD-198 Spencerville Rd near Santini Rd.,Santini Rd,Burtonsville,Montgomery,MD,20866,US,US/Eastern,KCGS,2022-02-04 19:55:00,36.0,28.0,72.0,30.0,10.0,NNW,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3677476,Source1,2,2023-03-26 14:38:00.000000000,2023-03-26 17:29:42.000000000,37.636405,-122.087711,37.64479,-122.093729,0.6659999999999999,Accident on Nimitz Fwy N - I-880 N from Tennyson Rd (I-880) to CA-92/Jackson St (I-880).,I-880,Hayward,Alameda,CA,94544,US,US/Pacific,KHWD,2023-03-26 14:54:00,56.0,56.0,30.0,30.21,10.0,WNW,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
